,genre,count
290,Mythologie ancienne - Dictionnaires anglais,3
291,Antiquities,3
292,Mysticism,3
293,Alcoholics,3
294,Camping,3
295,German language,3
296,Folklore,3
297,Baptists,3
298,Science fiction.,3
299,French fiction,3
300,Diary fiction,3
301,Byzantine Empire,3
302,"Cookery, French",3
303,Constitutional history,3
304,Birthdays,3
305,Knights and knighthood,3
306,Chess,3
307,Parliamentary practice.,3
308,Composers,3
309,Botswana,3
310,Dragons,3
311,Conversion,3
312,Baking,3
313,Authors,3
314,New England,3
315,"Civilization, Modern",3
316,Amusements,3
317,Mice,3
318,Arthurian romances,3
319,African American women,3
320,Monsters,3
321,Fathers and sons,3
322,Computer networks,3
323,British Columbia,3
324,Cotswold Hills (England),3
325,Technology,3
326,Rock music,3
327,Circus,3
328,Short stories,3
329,Popular music,2
330,Fantasy games,2
331,Albert Nyanza,2
332,"World War Ii, 1939-1945",2
333,Apartment dwellers,2
334,Imaginary places,2
335,English literature,2
336,Aunts,2
337,Food,2
338,"Horror tales, American.",2
339,Argentina,2
340,Aeronautics,2
341,"Cassidy, Hopalong (Fictitious character)",2
342,"Fables, American",2
343,"Baggins, Frodo (Fictitious character)",2
344,"Atlases, British",2
345,Oglala Indians,2
346,Abandoned children,2
347,"Reconstruction (U.S. history, 1865-1877)",2
348,College teachers,2
349,Prisoners of war,2
350,Nuclear warfare,2
351,Atlantic salmon,2
352,Celtic antiquities,2
353,Rome,2
354,Holocaust denial literature,2
355,Conservation of natural resources,2
356,Australian drama,2
357,Bands (Music),2
358,"""Children's stories, English""",2
359,"Art, Dutch",2
360,Brain,2
361,Childbirth,2
362,Blandings Castle (England : Imaginary place),2
363,Hebrew language,2
364,Women millionaires,2
365,Corporate culture,2
366,"Sermons, American",2
367,Alternative stories,2
368,Czech fiction,2
369,Fruit wines,2
370,American wit and humor.,2
371,Helicopters,2
372,POETRY,2
373,Cookery.,2
374,Diabetes,2
375,Cancer,2
376,Soldiers,2
377,Rock musicians,2
378,Soviet Union,2
379,Handicraft,2
380,Dreams,2
381,Businessmen,2
382,Color,2
383,Journalists,2
384,Ballet dancing,2
385,"Humorous stories, American",2
386,Color in gardening,2
387,Adoption,2
388,Happiness,2
389,Baseball,2
390,Business presentations,2
391,Hanukkah,2
392,Emotions,2
393,"""Children's stories, Swiss (German)""",2
394,"Falstaff, John, Sir (Fictitious character)",2
395,Private investigators,2
396,"Finance, Personal",2
397,Epic poetry,2
398,Physics,2
399,Conversation,2
400,Japan,2
401,Archaeology,2
402,Fairies,2
403,Sweden,2
404,Human-computer interaction,2
405,Fables,2
406,Female offenders,2
407,Midget submarines,2
408,Great Plains,2
409,Liberty,2
410,College readers,2
411,Derelicts,2
412,SCIENCE,2
413,Plot-your-own stories,2
414,Common fallacies,2
415,Language and languages,2
416,Denmark,2
417,Thailand,2
418,Camps,2
419,Beijing (China),2
420,Experimental fiction,2
421,AIDS (Disease),2
422,Adopted children,2
423,Air pilots,2
424,Georgia,2
425,Child abuse,2
426,Fossils,2
427,Belize,2
428,Pirates,2
429,Forensic psychology,2
430,"Cartwright, Peter, 1785-1872",2
431,Arab-Israeli conflict,2
432,Jewish fiction,2
433,Examination of witnesses,2
434,"Appleby, John, Sir (Fictitious character)",2
435,"Arnheim, Battle of, 1944",2
436,Fathers and daughters,2
437,Lost treasure,2
438,"Anatomy, Artistic",2
439,Gardens,2
440,Women,2
441,Authorship,2
442,Hungarian fiction,2
443,Belgium,2
444,Gothic revival (Literature),2
445,Political science,2
446,Decoration and ornament,2
447,Florida,2
448,Advanced placement programs (Education),2
449,Crime,2
450,Corporations,2
451,Arab countries,2
452,War stories,2
453,Crimes without victims,2
454,Missions,2
455,Brazil,2
456,"Algebras, Linear",2
457,Dysfunctional families,2
458,Navajo language,2
459,"Hollywood (Los Angeles, Calif.)",2
460,Cargo ships,2
461,Color in interior decoration,2
462,Beowulf,2
463,Female friendship,2
464,Autobiographical fiction,2
465,Latin Americans,2
466,Computer games,2
467,Bereavement,2
468,Legends,2
469,Vietnam,2
470,"""Children's poetry, English.""",2
471,Anthropologists,2
472,"Dialect poetry, Scottish",2
473,Nez Perce Indians,2
474,Ciphers,2
475,Christian biography,2
476,Alligators,2
477,Concentration camps,2
478,Geography,2
479,Electronic book,2
480,Business cycles,2
481,Aden (Yemen),2
482,Christian women,2
483,"""Children's stories, American.""",2
484,Cowboys,2
485,"Dalziel, Andrew (Fictitious character)",2
486,"Detective and mystery comic books, strips, etc",2
487,Gambling,2
488,Assisi (Italy),2
489,"Fuentes de Oñoro, Battle of, Fuentes de Oñoro, Spain, 1811",2
490,Dystopias,2
491,Lesbians,2
492,Picture puzzles,2
493,Differential equations,2
494,"Fantasy fiction, American",2
495,Czechoslovakia,2
496,Fairy tales.,2
497,Art and society,2
498,Sex,2
499,Covenant theology,2
500,Pilgrims (New Plymouth Colony),2
501,Economics,2
502,Exercise,2
503,HEALTH & FITNESS,2
504,Mystery.,2
505,Missionaries,2
506,Dentists,2
507,Dolls,2
508,Elephants,2
509,Buses,2
510,Antislavery movements,2
511,"Folk songs, Hebrew",2
512,Singers,2
513,Clergy,2
514,Family life,2
515,Environmental protection,2
516,Castles,2
517,Early childhood education,2
518,Middle East,2
519,Aesthetics,2
520,Indic fiction (English),2
521,Interior decoration,2
522,Shipwrecks,2
523,Biochemistry,2
524,Comedy,2
525,Hurricanes,2
526,Meditation,2
527,Time management,2
528,Children with disabilities,2
529,Composition (Music),2
530,"Africa, West",2
531,"Artists, Dutch",2
532,Escapes,2
533,African American dramatists,2
534,Anti-clericalism,2
535,Etiquette,2
536,Ducks,2
537,Clifford (Fictitious character : Bridwell),2
538,Colombia,2
539,Conservatism,2
540,"Associations, institutions, etc",2
541,Birthday parties,2
542,Mindfulness (Psychology),2
543,Discworld (Imaginary place),2
544,Good and evil,2
545,Appalachian Region,2
546,Elves,2
547,Country homes,2
548,Algebra,2
549,Board books,2
550,"Competition, International",1
551,Colombo (Sri Lanka),1
552,"Dallas, Eve (Fictitious character)",1
553,"Science fiction, French",1
554,Perfumes,1
555,Courtroom artists,1
556,Homeopathic pharmacopoeias,1
557,Angkor (Extinct city),1
558,"Horror tales, American",1
559,Blood sugar,1
560,Educational psychology,1
561,Ex-convicts,1
562,Minorities,1
563,"Philosophy, Ancient",1
564,Communication satellites,1
565,Baseball stories,1
566,Air,1
567,"""Children's songs""",1
568,New Mexico,1
569,Vienna (Austria),1
570,Obsessive-compulsive disorder,1
571,Stage lighting,1
572,Hinduism,1
573,DIEN-BIEN-PHU,1
574,Pennsylvania,1
575,Locks and keys,1
576,Aesop,1
577,Electronics,1
578,Brotherhoods,1
579,Revolutions,1
580,False imprisonment,1
581,Jewish ethics,1
582,High schools,1
583,Aerodynamics,1
584,Americanisms,1
585,Diet,1
586,Mastodons,1
587,Canoes and canoeing,1
588,Turkey,1
589,RELIGION,1
590,Cape Cod (Mass.),1
591,Hindu art,1
592,Czech-American women,1
593,Adventure fiction,1
594,Fruit,1
595,Apples,1
596,"Learning, Psychology of",1
597,Pediatrics,1
598,Munich Four-Power Agreement,1
599,Tarot,1
600,Assassination in literature,1
601,Angels,1
602,"Photography, Artistic",1
603,African American physicians,1
604,Yachts,1
605,BIBLES,1
606,Inventions,1
607,Kings,1
608,Alternative lifestyles,1
609,Colonies in literature,1
610,Alex (Fictitious character),1
611,Etiquette for children and teenagers,1
612,Husbands,1
613,Maori (New Zealand people),1
614,Spirit writings,1
615,Hindu hymns,1
616,Kingdom of God,1
617,Booksellers and bookselling,1
618,Baby sitters,1
619,Dakota Indians,1
620,Cults,1
621,"Alternative histories (Fiction), American",1
622,JFK (Motion picture),1
623,Body language,1
624,Political and/or Miltary intrigue,1
625,Reincarnation,1
626,Orchid culture,1
627,Artificial intelligence,1
628,Art appreciation,1
629,Grandchildren,1
630,Computer sex,1
631,Cerebral dominance,1
632,Male nude in art,1
633,"Art, Tibetan",1
634,Reincarnation therapy,1
635,Animals in logging,1
636,Deep diving,1
637,"Authors, Yugoslav",1
638,Dinosaurs,1
639,Homosexuality,1
640,Business communication,1
641,"Medicine, Tibetan",1
642,Finite element method.,1
643,Detectives,1
644,Intelligence officers,1
645,Linux,1
646,Celebrities,1
647,"Carbohydrates, Refined",1
648,West (U.S.),1
649,Developmentally disabled,1
650,Sex role,1
651,Boats and boating,1
652,"44 Scotland Street (Edinburgh, Scotland : Imaginary place)",1
653,Gran Bretaña,1
654,Casserole cooking,1
655,Prisoner-of-war escapes,1
656,Dwarfs,1
657,Werewolves,1
658,Urdu poetry,1
659,Arctic Regions,1
660,"Animals, Mythical, in art",1
661,Guvernören (Tanker),1
662,Finding Nemo (Motion picture),1
663,"Epic poetry, Assyro-Babylonian",1
664,"Authors, Spanish",1
665,Electrical engineering,1
666,Illustrators,1
667,East Saint Louis (Ill.),1
668,Ancient Rome,1
669,"Central Park (New York, N.Y.)",1
670,Daredevils,1
